,ocf 대 유동부채,비유동장기적합률,자기자본순이익률,자기자본회전률,차입금의존도,총자본영업이익률,총자산순이익률,총자산영업이익률,총자산회전율,부도여부
4154,0.01632548092842844,94.28,0.73,0.76,19.86,-1.3,0.004051077465576994,-0.013318769158141121,0.41254955274169214,0.0
4155,0.020824184195436198,88.63,-6.52,0.74,26.91,-1.57,-0.036535799491300085,-0.016094131147138986,0.4063950594366327,0.0
4156,0.2616027854790905,93.59,11.59,0.75,14.21,2.32,0.06738103100324701,0.023320653500910938,0.43225223931305257,0.0
4158,0.03952114291993608,80.76,3.34,4.09,22.48,1.89,0.014098535027963491,0.018013211862335173,1.8122762574839009,0.0
4159,-0.008247327925488334,81.87,0.6,3.38,28.3,2.57,0.00257511766604188,0.02512185423724984,1.483613442576737,0.0
4160,0.06909088568431973,82.48,0.91,2.84,26.96,1.61,0.003821761078084049,0.01574299605399251,1.2206773406812366,0.0
4161,0.246043453572651,77.39,8.9,2.87,17.51,2.17,0.040977736005178164,0.02231871155554417,1.283172150418059,0.0
4162,0.06589761178940183,81.69,1.57,3.09,19.29,0.8,0.0067259356991543895,0.007649735477943752,1.3897937492206425,0.0
4163,-0.01789290111040047,75.81,0.12,3.41,26.18,2.05,0.0004683147387362264,0.01971101198189196,1.381153800361661,0.0
4164,0.20895730645666746,86.48,2.18,3.88,23.18,1.81,0.008737508627285255,0.01843439261577856,1.533777456418449,0.0
4165,0.011722778083514204,100.74,0.31,3.75,27.12,0.81,0.001230429889145299,0.008069325211155332,1.5098907403717132,0.0
4166,0.17276250357301945,103.12,3.6,4.39,21.62,0.97,0.013848526088622541,0.009511311003286841,1.7306776851261838,0.0
4167,0.1025012477079385,98.34,2.8,4.44,20.11,0.75,0.01169488350084817,0.007663801356832277,1.8022557973617424,0.0
4169,0.39270649848330297,85.0,26.96,3.15,23.55,16.58,0.11594253872300732,0.16402782608749555,1.3695479136395,0.0
4170,0.18804903584855012,85.42,19.69,2.95,24.41,14.17,0.08259744490973456,0.1298213707067913,1.3502757898672864,0.0
4171,0.5637830128479879,82.55,29.35,2.5,19.18,13.49,0.13207498651901622,0.12771240693467473,1.1890744046239514,0.0
4172,0.14714642380972007,88.04,16.96,2.05,29.7,10.44,0.07734216059353022,0.09660147637058623,1.0087173030801893,0.0
4173,0.29933182254828195,80.8,7.97,1.9,32.85,7.11,0.03624563851986385,0.06866251127487806,0.8949194421781252,0.0
4174,0.22675735540362196,73.04,12.91,2.11,33.02,8.62,0.05349598843991196,0.08016984411264187,0.9411089496396996,0.0
4175,0.14545931646734758,65.57,12.9,2.06,33.19,8.85,0.05648424043954309,0.08675075294371704,0.9180101164397272,0.0
4176,0.2419359944931341,68.25,10.11,1.97,33.58,7.54,0.04365431892344021,0.0721103038097784,0.8888689970597428,0.0
4177,0.2328002174106284,63.65,7.2,1.82,33.42,6.94,0.03294826531691452,0.07015300904107945,0.8232519306038575,0.0
4178,0.3895773464826719,66.16,5.85,1.73,30.69,4.63,0.027623877834427296,0.04648021931724877,0.8147811498940716,0.0
4180,0.5712358351864053,64.46,29.58,1.8,25.08,22.54,0.17005328245858434,0.19899540149812944,1.1741177122981443,0.0
4181,2.054704124660548,61.31,16.63,1.44,9.85,21.2,0.13043732007250733,0.22732300105453085,1.0561988329124574,0.0
4182,0.4423515575098612,61.26,20.87,1.3,7.23,15.95,0.1548445260918187,0.14442412886667969,1.0643717781937498,0.0
4183,1.2222620567260003,61.25,20.33,1.3,9.29,16.8,0.14722656140322027,0.15128712137576272,1.0420805205310706,0.0
4184,2.1838079693336496,55.45,22.7,1.63,6.34,24.41,0.17348748456540944,0.2263456435424579,1.3428262890907718,0.0
4185,1.0307276342148597,57.21,16.7,1.38,6.55,18.24,0.13291442633117592,0.17052139939778496,1.1747063103933688,0.0
4186,1.9200505687257108,58.08,11.67,1.06,3.16,13.36,0.0997000319580727,0.13071820193032285,0.9223406112733488,0.0
4187,0.7748426913729387,60.6,10.57,0.96,3.2,12.9,0.09000232299137703,0.1234082730471319,0.8576544076140363,0.0
4188,2.7602062719417564,64.19,10.28,0.86,0.91,12.06,0.09036417657660302,0.11744172286883305,0.7739188134373222,0.0
4189,1.5807050683470756,63.65,10.43,0.98,0.77,12.18,0.09141503517921988,0.11707915063421084,0.8926221873835396,0.0
4191,0.17003179951643985,160.63,24.08,4.23,1.25,4.68,0.04596185502697229,0.043297137501110534,0.8715242374235221,0.0
4192,0.07646536254581263,117.95,30.35,5.16,0.61,4.12,0.024050755558798303,0.02895749622869705,0.5820461462531658,0.0
4193,-0.2500879288283652,110.48,25.94,5.07,13.76,3.43,0.033181625561278766,0.03931291918708076,0.5660029793576836,0.0
4194,0.07783569011694745,107.31,26.69,3.92,13.81,5.22,0.04936893533473165,0.05541767413664577,0.6837548217146118,0.0
4195,0.1326643484365689,112.65,20.52,3.17,9.24,6.15,0.053835823347857255,0.06524292488879717,0.7848068057555551,0.0
4196,-0.14500166076239354,81.39,15.08,2.93,18.14,7.11,0.045414055666100336,0.07045811696935629,0.8912205581322562,0.0
4197,0.055904508255859665,82.19,11.84,2.67,15.75,5.54,0.03824934873920165,0.05420159249141762,0.8811575098884501,0.0
4198,-0.05330368795451732,91.75,2.0,2.24,21.72,0.85,0.006734435537352728,0.008554383494335047,0.7458725486635395,0.0
4199,0.04745306762546184,93.84,-26.24,1.96,28.94,-10.09,-0.07684851593247859,-0.10216945606865843,0.5660044896599148,0.0
4200,-0.18251264014247184,91.66,-2.67,1.96,30.45,-1.11,-0.00818431459481018,-0.01103847060604056,0.6034883010450856,0.0
4202,0.7511476994899953,74.43,-1.22,0.51,13.28,0.16,-0.007551354279715708,0.001433019205375039,0.36649934107787097,0.0
4203,0.6190176752826587,77.92,-49.81,0.69,17.57,-1.84,-0.4596859719226309,-0.021831176375415158,0.532923370673064,0.0
4204,0.8356890617118625,75.27,4.1,1.19,15.28,7.7,0.0296738898086054,0.0761445275498455,0.8679864614738514,0.0
4205,-0.02401238228023305,78.09,-22.43,1.08,40.83,2.95,-0.12955463909211995,0.027545706147918663,0.6666471478256762,0.0
